RestaurantName,ItemType1,Item Category 1-7 ,ItemType2,ItemType3,Collection,Problem Restaurant
5 Guys,BUN,7,,,5/4/2016,
5 Guys,FRIES - COOKED IN 100% PEANUT OIL,1,,,7/4/2016,
5 Guys,MEAT,7,,,7/4/2016,
5 Guys,MILKSHAKES,3,,,5/4/2016,
5 Guys,MIX-INS (Amount of individual mix-ins may vary depending upon number of mix-ins included in shake),6,,,5/4/2016,
5 Guys,TOPPINGS,6,,,5/4/2016,
A&W, Protein,4,,,7/4/2016,
A&W,ENHANCED SWEETS & TREATS,3,,,11/4/2016,
A&W,PROTEINS,4,,,5/18/2019,
A&W,REGIONAL FAVORITES*,4,,,5/18/2017,
A&W,ROOT BEER,4,,,7/2/2019,
A&W,SIDES,1,,,10/26/2018,
A&W,SWEETS & TREATS,3,,,4/18/2018,
A&W,Sides,1,,,7/4/2016,
Abner's Chicken,Entrees,2,,,10/27/2018,
Abner's Chicken,Entres,2,,,6/4/2017,
Abner's Chicken,Salad,1,,,6/4/2017,
Abner's Chicken,Salads,1,,,5/18/2017,
Abner's Chicken,Sandwiches,2,,,5/20/2018,
Abner's Chicken,Sauce,6,,,5/20/2018,
Abner's Chicken,Sauces,6,,,5/20/2018,
Abner's Chicken,Sides,1,,,5/18/2017,
Abner's Chicken,Wraps,2,,,4/20/2018,
Aladdin's Eatery,ADD-ONS & SIDES,1,,,2/17/2019,
Aladdin's Eatery,APPETIZERS,1,,,2/17/2019,
Aladdin's Eatery,DRESSINGS & SAUCES,6,,,5/18/2017,
Aladdin's Eatery,ENTREE SALADS,1,,,5/18/2017,
Aladdin's Eatery,ENTREE SALADS (analysis does not include dressing),1,,,2/17/2019,
Aladdin's Eatery,KIDS MENU,5,,,5/18/2017,
Aladdin's Eatery,PITZAS,2,,,5/18/2017,
Aladdin's Eatery,ROLLED PITAS,2,,,10/20/2019,
Aladdin's Eatery,SALADS,1,,,10/20/2019,
Aladdin's Eatery,SMOOTHIES & JUICE,4,,,2/17/2019,
Aladdin's Eatery,SOUP,1,,,10/20/2019,
Aladdin's Eatery,SPECIALTY PLATES,2,,,5/18/2017,
Aladdin's Eatery,VEGETARIAN ROLLED PITAS,2,,,2/17/2019,
Amici's East Coast Pizzeria,DINNER,2,,,5/18/2017,
Amici's East Coast Pizzeria,DRESSINGS,6,,,5/18/2017,
Amici's East Coast Pizzeria,Fettuccine (large),2,,,5/18/2017,
Amici's East Coast Pizzeria,Fettuccine (small),2,,,5/18/2017,
Amici's East Coast Pizzeria,Linguini (large),2,,,5/18/2017,
Amici's East Coast Pizzeria,Linguini (small),2,,,5/18/2017,
Amici's East Coast Pizzeria,PASTAS,2,,,5/18/2017,
Amici's East Coast Pizzeria,PASTAS,2,Fettuccine (large),,5/18/2017,
Amici's East Coast Pizzeria,PASTAS,2,Fettuccine (small),,5/18/2017,
Amici's East Coast Pizzeria,PASTAS,2,Linguini (large),,5/18/2017,
Amici's East Coast Pizzeria,PASTAS,2,Linguini (small),,5/18/2017,
Amici's East Coast Pizzeria,PASTAS,2,Pasta Adds,,5/18/2017,
Amici's East Coast Pizzeria,PASTAS,2,Penne (large),,5/18/2017,
Amici's East Coast Pizzeria,PASTAS,2,Penne (small),,5/18/2017,
Amici's East Coast Pizzeria,PASTAS,2,Whole Wheat to Regular Noodle comparison,,5/18/2017,
Amici's East Coast Pizzeria,PIZZA CRUST COMPARISON,2,,,5/18/2017,
Amici's East Coast Pizzeria,PIZZAS (Mini Size),2,,,5/18/2017,
Amici's East Coast Pizzeria,Pasta Adds,1,,,5/18/2017,
Amici's East Coast Pizzeria,Penne (large),2,,,5/18/2017,
Amici's East Coast Pizzeria,Penne (small),2,,,5/18/2017,
Amici's East Coast Pizzeria,SALADS,1,,,5/18/2017,
Amici's East Coast Pizzeria,SIDES,1,,,5/18/2017,
Amici's East Coast Pizzeria,Whole Wheat to Regular Noodle comparison,4,,,5/18/2017,
Applebees,Add a Salad,1,,,11/4/2016,
Applebees,Add a Salad,1,House Salad,,3/25/2016,
Applebees,Add a Side,1,,,3/25/2016,
Applebees,Add a Side,1,Baked Potato,,3/25/2016,
Applebees,Add a Side,1,Garlic Mashed Potatoes,,9/12/2016,
Applebees,Add a Side,1,Seasonal Vegetables:,,3/25/2016,
Applebees,Add a Soup,1,,,3/25/2016,
Applebees,Add a Soup,1,Today's Soup,,4/21/2016,
Applebees,Add-Ons,1,Add a Salad,,10/17/2017,
Applebees,Add-Ons,1,Add a Side,,10/17/2017,
Applebees,Add-Ons,1,Add a Side,Baked Potato,10/17/2017,
Applebees,Add-Ons,1,Add a Side,Garlic Mashed Potatoes,10/17/2017,
Applebees,Add-Ons,1,Add a Soup,,10/17/2017,
